,abr2_abr1_1,abr2_abr1_2,abr2_abr1_3,abr2_abr2_1,abr2_abr2_2,abr2_cladeA,abr2_cladeB,ayg1_1,ayg1_2,ayg1_3,ayg1_cladeA,ayg1_outgroup,ayg1_yg1,pks1_4thn_1,pks1_4thn_2,pks1_athn_1,pks1_athn_2,pks1_ywa1,rdt1_3hnr,rdt1_4hnr_1,rdt1_4hnr_2,rdt1_4hnr_3,rdt1_4hnr_4,rdt1_arp2,rdt1_cladeA,rdt1_cladeB,rdt1_outgroup,rdt1_remaining,scd1_arp1,scd1_cladeA,scd1_cladeB,scd1_cladeC,scd1_outgroup
Micmi1,,,,371369,,,,,428274,,,,434680,,"458156,370467",,,,458161,,,,424342,,,,,,,,323547,,
Stobe1,,,,,,,,,58671,,,,32911,,72358,,,,72362,,,,39026,,,,,,,,,,
Pcapi1,,,,,,,,,,,,,513900,,408544,,,,431133,,,,488726,,,,,,,,,,
Phycapi2,,,,,,,,,,,,,439902,,137663,,,,137352,,,,436790,,,,,,,,,,
Phycap1,,,,,,,,,,,,,356589,,72422,,,,262337,,,,297366,,,,,,,,,,
Phcapit2,,,,,,,,,,,,,377131,,500224,,,,433066,,,,510194,,,,,,,,,,
Phcap1,,,,,,,,,,,,,298776,,478297,,,,6582,,,,377114,,,,,,,,,,
Phcapi1,,,,,,,,,,,,,21973,,315720,,,,261533,,,,203337,,,,,,,,,,
Phcit1,,,,,,,,,,,,,85621,,9895,,,,9814,,,,158739,,,,,,,,,,
Pcit17464,,,,,,,,,,,,,71509,,641175,,,,641137,,,,598084,,,,,,,,,,
Pcit129764,,,,,,,,,,,,,486992,,380011,,,,464026,,,,386934,,,,,,,,,,
Phcitr1,,,,,,,,,,,,,289760,,312797,,,,312793,,,,309778,,,,,,,,,,
Pcitri2,,,,,,,,,,,,,41236,,97361,,,,341517,,,,89344,,,,,,,,,,
Pcitr2,,,,,,,,,,,,,382696,,442930,,,,140183,,,,435906,,,,,,,,,,
Phycit1,,,,,,,,,,,,,178012,,75863,,,,75628,,,,24305,,,,,,,,,,
Pcit16586,,,,,,,,,,,,,495921,,512255,,,,352721,,,,380794,,,,,,,,,,
Phycitr1,,,,,,,,,,,,,559029,,620400,,,,683816,,,,565010,,,,,,,,,,
Phypa1,,,,,,,,,,,,,233034,,594515,,,,283944,,,,429418,,,,,,,,,,
Phycpc1,,,,,,,,,,,,,418497,,421002,,,,488457,,,,450790,,,,,,,,,,
Pcit120373,,,,,,,,,,,,,202039,,280030,,,,181556,,,,336096,,,,,,,,,,
Pcit122670,,,,,,,,,,,,,638285,,369115,,,,369856,,,,401854,,,,,,,,,,
Pcit131864,,,,,,,,,,,,,889785,,797452,,,,573720,,,,94083,,,,,,,,,,
Phy27169,,,,,,,,,,,,,405927,,307611,,,,324570,,,,374599,,,,,,,,,,
Pcit122482,,,,,,,,,,,,,128307,,310595,,,,199350,,,,51385,,,,,,,,,,
Pcit141352,,,,,,,,,,,,,651290,,373124,,,,635376,,,,606252,,,,,,,,,,
Pcit11120,,,,,,,,,,,,,87959,,377587,,,,377233,,,,650281,,,,,,,,,,
Endpal1,,,,,,,,,,,,,4614,,,,,,7404,,4058,,,,,,,,,,,,
EndpusZ1,,,,,,,,,,,,,3496,,,,,,8792,,6981,,,,,,,,,,,,
ClaNC0930_1,,,,110280,366943,,,17962,,,,,341570,,,,,,171952,,296452,,,,,,,,,,,,
Bombom1,,,,,,,,584104,,,,,545321,497121,,,,,621394,,,,,,,,,,,,,,
Podap1,,,,,,,,112686,,,,,499806,409111,,,,,513028,,,,171907,,,,,,,,,,
Cersc1,,,,,,,,455389,,,,,478726,357847,,,,,434515,,,,405340,,,,,,,,,,
Apope1,,,,311731,513506,,,90908,,,,,374371,113692,,,,,574228,,,,380630,,,,,,,,,,
Phiatt1,,,,,7973,,,,,,,,8527,,,,,,1183,,8756,,,,,,,,,11079,,,
Exome1,,,,,"113427,104644","109370,109371",,,106049,,,,111074,,,,,,105164,,112288,,,,,,,,,,,,
Exoaq1,,,,,"10504,4390,13056",470,,,7535,,,,10,,,,,,448,,8402,,,,,,,,,,,,
Cocba1,,,,,621213,,,,640987,,,,580176,,,,,,310262,,690723,,,,,,,,,,,,
Capfu1,,,,,"201013,67876",,,,,,,,192405,,,,,,176382,,211458,,,,,,,,,,,,
Exoalc1,,,,,"527756,435751",567335,,,,,,,431304,,,,,,490254,,"518420,493549",,,,,,530565,,,,,,
Exoalc1_J33,,,,,"519586,513640",482093,,,,,,,549592,,,,,,478528,,"595269,577386",,,,,,548202,,,,,,
Capse1,,,,,"358670,359842",,,,357605,,,,361825,,,,,,368329,,359080,,,,,,,,,,,,
Claye1,,,,,"734,2188",,,,1618,,,,5014,,,,,,9481,,392,,,,,,,,,,,,
Claca1,,,,,"112206,110644",,,,113126,,,,105600,,,,,,113971,,111853,,,,,,110191,,,,,,
Claps1,,,,,"134287,139732",,,,142403,,,,135013,,,,,,147282,,145250,,,,,,,,,,,,
Claba1,,,,,"132420,133892",,,,137987,,,,139955,,,,,,138351,,136616,,,,,,,,,,,,
Fonmu1,,,,,"8907,7399",,,,6511,,,,11877,,,,,,2135,,7900,,,,,,3373,,,,,,
Claim1,,,,,"142315,144766,143598",,,,151134,,,,146113,,,,,,150606,,151905,,,,,,,,,,,,
Fonmo1,,,,,"1297,6137",,,,9778,,,,4578,,,,,,1418,,4077,,,,,,1810,,,,,,
Fonpe1,,,,,"8083,442",,,,2157,,,,6281,,,,,,9843,,8608,,,,,,12262,,,,,,
Fonnu1,,,,,"3933,9830",,,,6536,,,,10672,,,,,,8708,,8855,,,,,,"9050,9050",,,,,,
Exoxe1,,,,,"144573,139732","140282,140283",,,142214,,,,139008,,,,,,135734,,144380,,,,,,,,,,,,
Exosp1,,,,,"5721,7632,3508",,,,,,,,8458,,,,,,7662,,6128,,,,,,,,,6812,,,
ExoJF061F_1,,,,,"561350,219465,618073",568881,,,485525,,,,335548,,,,,,219199,,187313,,,,,,,,,,,,
Exool1,,,,,"138163,143038,140295",,,,141552,,,,142214,,,,,,"143018,143017",,"138247,138248",,,,,,,,,,,,
Cypeu1,,,,,"119386,112686","118920,111229",,,,,,,111530,,,,,,117191,,115614,,,,,,,,,,,,
HerpoJF2053F_1,,,,,,,,,228294,,,,505069,,,,,,513760,,,,516436,,,,,,,,,,
HerpoJF057F_1,,,,,,,,,799441,,,,724669,,,,,,762184,,,,741407,,,,,,,,,,
Exosi1,,,,,"119994,115130",,,,121300,,,,113497,,,,,,116723,,119584,,,,,,,,,,,,
EurotioJF034F_1,,,,,"326274,72468",,,,,,,,494160,,,,,,242806,,441819,,,,,,,,,,,,
EurotioJF033F_1,,,,,"603697,153763",,,,,,,,511449,,,,,,625384,,426974,,,,,,,,,,,,
Exode1,,,,,"2890,5845",,,,,,,,2366,,,,,,,,,,,,,,,,,,,,
Capcor1,,,,,"98749,93063",,,,,,,,95215,,,,,,100647,,93349,,,,,,,,,,,,
Capep1,,,,,"111206,107344,109343",,,,115074,,,,107060,,,,,,105821,,108621,,,,,,,,,,,108934,
Crypto1,,,,,,,502382,,539213,,,,479949,408290,,,,,466627,474318,,,,,,,,,,,,,
Lolmi1,,,,,,,229452,,,,,,336419,313322,,,,,303033,271562,,,,,,,,,,,,,
Diaam1,,,,2226,,,1319,,,,,,2301,6857,,,,,7493,,,,,,,,,,,,,,
Melsp1,,,,,197617,,176406,,,,,,199038,79703,,,,,75057,170196,,,,,,,,,,,,34687,
DiaPMI573_1,,,,,"414994,632266",,490612,,,,,,555439,445821,,,,,542416,,,,,,,,,,,,,"598923,673568",
Diavoc1,,,,,"457241,368513,461014",,429004,,,,,,400654,192724,,,,,327063,,,,,,,,,,,,,498442,
Lashir1,,,,,"582845,484129",,,139608,,,,,597986,197461,,,,,567700,,,,480942,,,,,,,,,,
Lashi1,,,,,"621558,77223,446933",,,563468,,,,,266609,124462,,,,,230939,,,,282767,,,,,,,,,,
Poddi1,,,,,,,,284764,,,,,442664,251284,,,,,474094,,,,433499,,,,,,,,,,
Lasmin1,,,,,737770,,,646423,,,,,858198,748848,,,,,359625,,,,648738,,,,,,,,,,
Lasov1,,,,,723316,,,669501,,,,,217320,702860,,,,,618885,,,,665865,,,,,,,,,,
Bombar1,,,,,220353,,,549666,,,,,194991,109381,,,,,505343,,,,547186,,,,,,,,,,
Podcur1,,,,,215573,,,325583,,,,,347043,416595,,,,,413257,,,,402700,,,,,,,,,,
Cercau1,,,,,201873,,,419290,,,,,570694,499535,,,,,531125,,,,500957,,,,,,,,,,
Cernew1,,,,,"324442,388178",,,384073,,,,,408173,462539,,,,,410461,,,,410520,,,,,,,,,,
Chathe1,,,,,,,,,,,,,7094,2411,,,,,6831,,,,6700,,,,,,,,,,
Thiar1,,,,,767766,,,786362,,,,,761629,800948,,,,,785641,,,,709335,,,,,,,,,,
Schves1,,,,,314945,,,312683,,,,,239732,353702,,,,,420511,,,,333181,,,,,,,,,,
Apibac1,,,,,,,,39820,,,,,375393,101626,,,,,300797,,,,300520,,,,,,,,,,
Podans1,,,,,,,,381316,,,,,333129,420949,,,,,331807,,,,383554,,,,,347046,,,,,
Sorbr1,,,,,,,,263398,,,,,150524,343890,,,,,398154,,,,464874,,,,,,,,,,
Sorhu1,,,,,,,,322345,,,,,159122,258554,,,,,345877,,,,172776,,,,,,,,,,
Gelte1,,,,,,,,504548,,,,,175172,98632,,,,,441340,,,,507590,,,,,,,,,,
Neudi1,,,,,,,,73524,,,,,140835,89117,,,,,100296,,,,100635,,,,,,,,,,
Neuhi1,,,,,,,,192667,,,,,324454,409223,,,,,433052,,,,347239,,,,,,,,,,
Neute_matA2,,,,,,,,115120,,,,,86683,35966,,,,,102704,,,,85223,,,,,,,,,,
Neute_mat_a1,,,,,,,,49326,,,,,159421,163629,,,,,72785,,,,94990,,,,,,,,,,
Neucr4830_1,,,,,,,,238478,,,,,84166,501711,,,,,471116,,,,278798,,,,,,,,,,
Neucr_trp3_1,,,,,,,,546,,,,,10695,7159,,,,,9963,,,,9811,,,,,,,,,,
Neucr2,,,,,,,,546,,,,,10695,7159,,,,,"9964,9963",,,,9811,,,,,,,,,,
Ncrass2,,,,,,,,1412030,,,,,1505940,1568711,,,,,1307163,,,,1452668,,,,,,,,,,
Spofi1,,,,,,,,,,,,,,,473481,,,,393337,,,,459366,,,,529761,,,,,,
Wesor1,,,,,,,,,,,,,,,456938,,,,373127,,,,215760,,,,,,,,,,
Aspave1,,,,"172424,142944",169526,,,,,130687,,,,,,,,140155,,,,,,,,,170002,,,,,,
Aspthe1,,,,320060,313797,174357,,,,312728,,,,,,,,312731,,,,302734,,302734,296364,,,,302735,,305337,,
Grascr1,,12327,2761,12946,5430,,,,,,,,,12945,,,,,,,,12942,,12942,,,,,,,12943,,
Usnflo1,881512,,"373105,954908",853641,,,,,,,,,,891540,,,,,,461978,,,881798,,,,,,,,,902434,
Aspala1,,,,,"163661,163645",162963,,,,,,,,,,,,,,,,,,,,,,,,,148157,163990,
Asphor1,,,,,"139650,164452",,,,,,,,,,,,,,,,,,,,,,,,,,120539,,
Penac1,,,,391467,,,,,,436793,,,,,477807,,,410564,,,,455687,,455687,,,,,281665,,473548,,
Penja1,,,,"413034,405691,415892",453344,,,,,491815,,,,,,,,367213,,,,435458,,435458,,,,,495340,,490586,,
Aspgal1,,,,482496,464366,,,,,450131,,,,,,,,476451,,,,466795,,466795,,,,,476452,,,,
Umbpus1,,105197,,"103541,105493,103709",,,,103635,,,,,,106039,,,,,,,,,106038,,,,,,,,106037,,
Aspibe1,,,,,"451570,397552,379440",,,,,430226,,,,,,,,47590,,,,,,,,,,,,,,,
Aspaste1,,,,,"141125,159923,84912",,,,,106645,,,,,,,,162416,,,,,,,,,,,,,,,
Aspwel1,,,,,"163122,161153,172715,182288",,,,,181355,,,,,,,,179125,,,,,,,,,,,,,,,
Aspcos1,,,,,"229734,151243,266014",,,,,265256,,,,,,,,162863,,,,,,,,,,,,,,,
Stael1,,,,,474491,,,,,,,,,508476,,,,,,474904,,,,,,,,,,,,,
Thite2,,,,,2120602,,,,,,,,,2106274,,,,,2145571,,,,2130018,,,,,,,,,,
Brefa1,,,,,736752,,,718150,,,,,,762003,,,,,,399704,,,,,,,,,,,,,
Grocl1,,,,,,,,1851,,,,,,3858,,,,,4842,3860,,,,,,,,,,,,,
OphPMI507_1,,,,,393712,,,317964,,,,,,"417644,449951,409315,409316",,,,,350468,459095,,,,,,,,,,,,,
Ophpic1,,,,,4669,,,7062,,,,,,806,,,,,2645,803,,,,,,,,,,,,,
Ophnu1,,,,,1983625,,,1981900,,,,,,1979964,,,,,1982290,1979966,,,,,,,,,,,,,
Ophpi1,,,,,,,,2999,,,,,,,,,,,2020,2831,,,,,,,,,,,,,
Mictr1,,,,,"577091,667077",,,601068,,,,,,594226,,,,,,541656,,,,,,,,,,,,,
LecAK0013_1,,,,,,,,388804,,,,,,423979,,,,,265929,329880,,,,,,,,,,,,,
ConPMI546,,,,,"985570,877091",,,895007,,,,,,963078,,,,,734048,921851,,,,,,,,,,,,,
ColoR110_1,,,,,120866,,,122501,,,,,,130232,,,,,134482,113919,,,,,,,,,,,,,
Conioc1,,,,"1135174,1039195","1288989,1243486",,,"198190,69667",,,,,,"1157576,1231692,1165520,1121525",,,,,"1165795,1171870","1152577,1121511",,,,,,,,,,,,,
Conli1,,,,,"10184,169",,,3566,,,,,,7687,,,,,9606,8880,,,,,,,,,,,,,
Conlig1,,,,,"656404,702565",,,668582,,,,,,719256,,,,,513139,686568,,,,,,,,,,,,,
Achstr1,,,,,,,,386888,,,,,,491685,,,,,485396,,,,217097,,,,,,,,,,
Thian1,,,,,,,,478789,,,,,,163596,,,,,444827,,,,443579,,,,,,,,,,
Chafu1,,,,,,,,443059,,,,,,121997,,,,,438869,,,,373737,,,,,,,,,,
Cha1176438,,,,,,,,59490,,,,,,29427,,,,,33806,,,,34057,,,,,,,,,,
Thiap1,,,,,,,,663073,,,,,,575535,,,,,579407,,,,673224,,,,,,,,,,
Thihy1,,,,,,,,505851,,,,,,420043,,,,,559064,,,,475900,,,,,,,,,,
Chafi1,,,,426637,,,,65946,,,,,,37570,,,,,388476,,,,203858,,,,,,,,,,
Chame1,,,,407824,,,,53690,,,,,,433824,,,,,356056,,,,375522,,,,,,,,,,
Chagl_1,,,,,,,,16465,,,,,,10366,,,,,12224,,,,19754,,,,,,,,,,
Chagl1,,,,,,,,594668,,,,,,19680,,,,,569619,,,,358125,,,,,,,,,,
Corsim1,,,,,,,,32575,,,,,,38099,,,,,42382,,,,44365,,,,,,,,,71197,
Spoth2,,,,75296,,,,2310905,,,,,,2300170,,,,,2064803,,,,2308261,,,,,,,,,,
Myche1,,,,716660,,,,767551,,,,,,673824,,,,,743047,,,,765378,,,,,,,,,,
Mychet1,,,,273080,,,,274609,,,,,,204932,,,,,269785,,,,313866,,,,,,,,,,
Magor1,,,,,7341,,5139,12125,,,,,,4648,,,,,339,4644,,,,,,,,,,,,,
Clabul1,,,,,,,,917307,,,,,,988375,,,,,855872,,,,856029,,,,,,,,,,
Cornip1,,,,,,,,421027,,,,,,456526,,,,,429054,,,,420051,,,,,,,,,,
Torra1,,,,,,,,105872,,,,,,503808,,,,,490649,412230,,,,,,,,,,,,,
Chain1,,,,,,,,8827,,,,,,6730,,,,,1519,,,,6640,,,,,,,,,,
ThoPMI491_1,,,,,813918,,,662243,,,,,,849208,,,,,101014,,,,691471,,,,,,,,,,
Phaal1,,,,,,,,6902,,,,,,360,,,,,1202,361,,,,,,,,,,363,,,
Calpu1,,,,,,,,2624,,,,,,8032,,,,,9403,,,,,,,,,,,,,,
PhaeoFL0889_1,,,,558566,91427,,,547834,,,,,,547208,,,,,294097,514560,,,,,,,,,,443926,,551497,
Plecuc1,,,,,81691,,,106466,,,,,,354791,,,,,671,227959,,,,,,,,,,,,,
Plecucu2,,,,,183051,,,239617,,,,,,154550,,,,,269464,273821,,,,,,,,,,,,,
Plecu1,,,,,397767,,,351729,,,,,,80363,,,,,90545,390564,,,,,,,,,,,,,
Corma2,,,,,712009,,,738518,,,,,,11896,,,,,620687,11115,,,,,,,,,,,,,
Veral1,,,,,,,,4677,,,,,,579,,,,,5549,574,,,,,,,,,,,,,
Verdah1,,,,,,,,335148,,,,,,9117,,,,,398634,7981,,,,,,,,,,,,,
Colorb1,,,,,"140722,143091",,134628,145291,,,,,,140924,,,,,135638,140927,,,,,,,,,,,,,
Colch1,,,,,6176,,1893,7083,,,,,,7220,,,,,"8371,8837",7218,,,,,,,,,,,,,
Colhig2,,,,,"7450,9736",,"5075,8094",11225,,,,,,10126,,,,,"10752,4572",10121,,,,,,,,,,,,,
Gloci1,,,,,"1905581,1851837",,"1931903,1726048",1749162,,,,,,1724748,,,,,1774210,53395,,,,,,,,,,,,,
Coltof1,,,,150697,153207,,"154585,152090",157106,,,,,,155081,,,,,"154999,150168",156635,,,,,,,,,,,,,
Colto1,,,,,11238,,"11335,11782",1124,,,,,,10102,,,,,"3493,2402",10104,,,,,,,,,,,,,
Colin1,,,,,7579,,558,10848,,,,,,4194,,,,,6124,4192,,,,,,,,,,,,,
Colfa1,,,,,575363,,"733255,735426",45609,,,,,,583787,,,,,653973,193206,,,,,,,,,,,,,
Colce1,,,,,782794,,"587272,779204",580089,,,,,,785258,,,,,684396,691769,,,,,,,,,,,,,
Colzo1,,,,,319114,,"681885,708259",186021,,,,,,81784,,,,,690005,643258,,,,,,,,,,,,,
Colso1,,,,,274513,,"612463,477179",134031,,,,,,483865,,,,,557310,636166,,,,,,,,,,,,,
Colca1,,,,,"669176,681662",,612713,586836,,,,,,364663,,,,,504081,475539,,,,,,,,,,,,,
Colna1,,,,,"595330,516779",,522724,521044,,,,,,514631,,,,,595391,685767,,,,,,,,,,,,,
Colgr1,,,,,"7587,7602,4513",,11911,1966,,,,,,1526,,,,,6353,1524,,,,,,,,,,,,,
Colsu1,,,,,586385,,"707476,723332",192375,,,,,,288227,,,,,636171,601328,,,,,,,,,,,,,
Coler1,,,,,532596,,"543893,523304",424756,,,,,,48124,,,,,255525,662793,,,,,,,,,,,,,
Color1,,,,,10697,,8130,12118,,,,,,2333,,,,,9703,2262,,,,,,,,,,,,,
Colgo1,,,,,"690105,694185",,772829,282434,,,,,,540286,,,,,683061,723049,,,,,,,,,,,,,
Colfi1,,,,285200,"277743,285692",,276906,280176,,,,,,281768,,,,,275842,280844,,,,,,,,,,,,,
Colph1,,,,,65173,,,458104,,,,,,389394,,,,,438883,339233,,,,,,,,,,,,,
Colsa1,,,,938368,"944189,947562",,944532,948524,,,,,,944466,,,,,943809,939225,,,,,,,,,,,,,
Colpa1,,,,,"16316,11531",,553,8576,,,,,,5636,,,,,7349,5641,,,,,,,,,,,,,
Colcu1,,,,,8955,,,14929,,,,,,17206,,,,,3842,3748,,,,,,,,,,,,,
Gloac1,,,,1407398,"1597204,1320036",,1605022,1331657,,,,,,1329438,,,,,1426045,1382724,,,,,,,,,,,,,
Colme1,,,,,"2776,128",,14905,6498,,,,,,580,,,,,6020,585,,,,,,,,,,,,,
Colab1,,,,,"17058,13133",,3084,11189,,,,,,1853,,,,,8868,1849,,,,,,,,,,,,,
Colny1,,,,,"1014650,1013542",,1021943,1015914,,,,,,1011664,,,,,,1018788,,,,,,,,,,,,,
Colsi1,,,,,"979141,976526",,974540,976200,,,,,,977093,,,,,973861,972676,,,,,,,,,,,,,
Collu1,,,,,"464941,448658",,590008,390934,,,,,,399384,,,,,620698,399433,,,,,,,,,,,,,
Collup1,,,,,"16570,12470",,18252,15938,,,,,,11975,,,,,5676,11965,,,,,,,,,,,,,
Colac2,,,,670729,"753493,795116",,742451,426983,,,,,,576752,,,,,573253,565547,,,,,,,,,,,,,
Colta1,,,,,"8507,13420",,14437,4694,,,,,,6170,,,,,15166,6165,,,,,,,,,,,,,
Colco1,,,,,"1913,12744",,4859,3747,,,,,,13145,,,,,4594,13140,,,,,,,,,,,,,
Colsp1,,,,,"5030,16982",,2444,3875,,,,,,11052,,,,,3489,11057,,,,,,,,,,,,,
Aciaci1,,,,,,,,1376811,,,,,,1358753,,,,,,1364264,,,,,,,,,,,,,
Marbr1,"260,7519,260,9887",,8868,,,,,6015,,,,,,"260,260",,4729,,,285,,,4727,,,,,,,,4728,,,
Phisc1,,"680065,320608",779524,,,,,696054,,,,,,773345,,670845,,,581099,,,698178,,,,,689141,,,,,,
Acema1,,"797233,706949","672525,704516",,,,,707747,,,,,,745268,,737792,,,790212,,,702078,,,,,675244,,,,,,
Lorju1,,"527155,513333,184200",533163,,,,,465001,,,,,,66204,,,,,540561,,,523236,,,,,,,,,,,
Lorma1,,"414481,442470,434211",156536,,,,,512829,,,,,,481702,,,,,561289,,,420960,,,,,,,,,,,
Melbi2,,,"719204,655575,594007",,,,,610368,,,,,,651435,,586688,,,290007,,,611138,,,,,,,,,,,
MelPMI1271_1,,291171,"504137,477460",,,,,409743,,,,,,410725,,438907,,,332966,,,403233,,,,,,,,,,,
Hyafin1,,784273,"618275,951654",,,,,543236,,,,,,766716,,903126,,,637333,,,903121,,,,,,,,,,,
Chalo1,,407918,"408869,399627",,,,,341104,,,,,,439967,,418873,,,561729,,,418870,,,,,,,,,,,
Melva1,504499,544862,573583,,,,,559327,,,,,,460046,,534121,,,512232,,,516982,,,,,,,,,,,
Rhier1,,684087,668531,,752300,,,673453,,,,,,194847,,698447,,,670995,,,668146,,,,,,,,,,,
Phimu1,,352258,721417,,,,,665847,,,,,,"632875,566241",,,,,333402,691307,,389768,,,,,,,,389790,,,
Cadsp1,,,651730,,,516439,,497711,,,,,,606172,,,,,545546,594668,,445556,,,,,,,,648036,,,
Rhesp1,271439,24221,,577542,,,,524423,,,,,,271436,,,,,429772,270844,,459158,,,,,,,,506411,,,
Lepor2,,,"637251,701533",,,,,162007,,,,,,485297,,,,,639080,75975,,488276,,,,,,,,677783,,,
Leptod1,,108525,"525179,492586",,,,,423695,,,,,,526612,,,,,453849,19397,,350316,,,,,,,,516759,,,
Clagr3,,,"2836,6421,3092",6950,,,,4944,,,,,,10391,,,,,,4947,,,10393,,,,"454,1817",,,4943,10394,,
XylPMI703_1,,56738,,88948,897469,,,713826,,,,,,"670201,679320",,,,,,"819477,822568",,,,,,,,,,796338,876189,,
Acastr1,118993,,"123893,119638,125576",,,,,127177,,,,,,,,,,,,,127181,,,,,,,,,,,,
Greab1,390227,464689,401498,510457,,,,462193,,,,,,,,529553,,,197555,,,178314,,,,,,,,395979,,,
Greabi1,481818,416963,399672,393427,,,,432944,,,,,,,,416697,,,201714,,,450534,,,,,,,,416696,,,
Loppic1,,129051,"559442,437709,518416",,,,,529246,,,,,,365468,,54270,,,163408,,,385227,,,,,,,,83254,,,
Spafl1,,9158,"1546,8232,2778",,,,,6116,,,,,,7361,,,,,3255,7363,,,,,,,,,,4657,,,
Cocst1,,620663,575458,,,,"569661,611639",649942,,,,,,676592,,588159,,,638446,320769,,672634,,,,,,,,655261,,,
Pseel1,6632,9928,"3235,10345",,,,,5899,,,,,,6211,,,,,10219,,,690,,,,,,,,1429,,,
Elyde1,,282737,"623773,406343,722067",,,,,502,,,,,,610553,,657171,,,680494,,,649696,,,,,,,,531097,,,
Lopnit1_1,,751389,469570,,,,"898409,874293",742562,,,,,,958266,,669073,,,293102,,,272236,,,,,746657,,,272093,,,
Rutfi1,,555445,"628314,628672,695742",,,,,650353,,,,,,684357,,584994,,,630618,,,636964,,,,,,,,636962,,,
Sclsc1,,,"12083,974,6830,7613",,,,,5881,,,,,,6692,,7899,,,4221,,,7892,,,,,,,,7891,,,
Botci1,,1394,"14685,137,3103",,,,,11565,,,,,,9476,,3415,,,3803,,,,,,,,,,,3406,,,
NeoP8C63_1,,669092,"633187,648711",,,,,664261,,,,,,,,655856,,,528256,,,693669,,,,,,,,647731,,,
DimP5P66,,172752,"554733,723136,367055",,,,,3743,,,,,,,,189150,,,682762,,,189098,,,,,,,,715240,,,
Zalva1,535498,109910,"231038,499673",,,,,596204,,,,,,560860,,701044,,,605346,356684,,66111,,,,,,,,592726,,,
Hymvar1,433468,531904,"522210,441038",,,,,373121,,,,,,525606,,505182,,,371940,525610,,469601,,,,,,,,469602,,,
Atrpi1,463973,463605,65180,,,,,642593,,,,,,258315,,644457,,,451414,500097,,601637,,,,,506713,,,447696,,,
Amore1,,37208,66039,,68456,139487,,136032,,,,,,93061,,,,,101494,157209,,,,,,,,,,38425,,,
Oidma1,,,"171090,45926",,"105886,36696",,,104576,,,,,,117704,,,,,123214,102294,,,,,39552,,37516,,,,116220,,
Bulin1,,763344,"819318,754447,800411",,,,,804161,,,,,,246384,808281,,,,775514,754961,,,,,,,,,,799412,,,
Bissp1,,516177,,"706372,665956",689777,,,689356,,,,,,,,,,,664054,,,,,,,,,,,665594,,,
Nieex1,,,,,,,,506543,,,,,,721964,,,,,782734,788895,,,836737,,,,,,,,,,
Melti1,,,,,,,,460143,,,,,,533464,,,,,493124,523417,,,,,,,,,,,,,
Porpun1,,,,,,,,545672,,,,,,234486,,,,,576926,590966,,,,,,,,,,,,,
NeFL0916_1,,,,,,,,587029,,,,,,498738,,,,,346369,498691,,,,,,,,,,,,,
Xylhel2,,,,,,,,270169,,,,,,503661,,,,,486031,442805,,,,,,,,,,,,,
Xyltel121673_1,,,,,562726,,,258638,,,,,,532498,,,,,558553,64654,,,,,,,,,,,,,
Xylber1,,,,,,,619580,619906,,,,,,619411,,,,,627908,609239,,,,,,,,,,,,,
Xylcas124033_1,,,,,,,353728,337293,,,,,,174786,,,,,207142,174931,,,,,,,,,,,,,
Xylacu1,,,,,483423,,,44656,,,,,,521933,,,,,463360,118945,,,,,,,,,,,,,
Xylcub1,,,,,465431,,,339779,,,,,,348869,,,,,337701,485422,,,,,,,,,,,,458226,
Xylcube1,,,,,506984,,483327,287122,,,,,,164511,,,,,48313,164617,,,,,,,,,,,,524262,
Xylscr1,,,,,,,223953,318252,,,,,,152054,,,,,216641,152175,,,,,,,,,,,,,
Xylcur114988_1,,,,,,,94236,124313,,,,,,561999,,,,,174376,484598,,,,,,,,,,,,,
Xylpal124036_1,,,,,,,,417933,,,,,,605481,,,,,148039,595071,,,,,,,,,,,,,
NeFL0031_2,,,,,,,,547375,,,,,,564374,,,,,551826,372877,,,,,,,,,,,,,
Nemabo1,,,,,,,,71460,,,,,,287767,,,,,126576,87123,,,,,,,,,,,,,
XyFL0821_1,,,,,,,,651323,,,,,,380169,,,,,197862,,,,,,,,,,,,,,
XylFL0255,,,,,389428,,,373129,,,,,,372433,,,,,2206,399589,,,,,,,,,,,,419074,
XyFL1272_2,,,,,,,,155253,,,,,,503433,,,,,103188,162487,,,,,,,,,,,,517268,
XylFL1019,,,,,,,,320030,,,,,,16898,,,,,421122,368883,,,,,,,,,,,,424174,
Xylni1,,,,,,,,493018,,,,,,392609,,,,,490093,504597,,,,,,,,,,,,,
Xylcur1,,,,,,,,183819,,,,,,306014,,,,,102081,306016,,,,,,,,,,,,,
Linth1,,,,,,,,526538,,,,,,623538,,,,,576470,623545,,,,,,,,,,,,,
Micbo1,,,,,176182,,113837,122073,,,,,,148260,,,,,187563,183893,,,,,,,,,,,,,
Mictri1,,,,,"244359,385155",,,253784,,,,,,365853,,,,,360890,352157,,,,,,,,,,,,,
XylPMI506,,,,,"480659,461117",,,404702,,,,,,548207,,,,,376169,509877,,,,,,,,,,,,,
Daces1,,,,,297510,,,642812,,,,,,,,,,,,,,,,,,,,,,,,,
Cylol1,,,,,541082,,,538551,,,,,,,,,,,,,,,,,,,,,,,,,
Neodi1,,,,,8952,,,5079,,,,,,,,,,,,,,,,,,,,,,,,,
Eutla1,,,,,,,,9105,,,,,,3748,,,,,305,,,,,,,,,,,,,,
